Year,Hurricanes,Earthquakes,Floods,Tornadoes,Fires,Total OUR Disasters,Total ALL Disasters on FEMA
1959,,,1,,,1,1
1964,,,4,,,4,4
1965,3,1,9,7,,20,25
1966,,,9,1,,10,10
1967,1,,5,2,1,9,9
1968,1,,10,6,,17,18
1969,5,,21,2,,28,28
1970,1,,12,1,1,15,17
1971,1,1,10,3,,15,16
1972,,,42,,,42,47
1973,,1,33,3,1,38,45
1974,1,,31,10,,42,44
1975,,1,23,8,,32,37
1976,1,,18,2,,21,26
1977,,,15,1,,16,22
1978,,,20,1,,21,24
1979,5,1,21,7,,34,39
1980,1,,12,4,1,18,22
1981,,,8,,1,9,14
1982,,,16,2,1,19,22
1983,1,2,13,,,16,24
1984,2,,19,7,,28,32
1985,11,,11,2,1,25,28
1986,,,22,3,,25,25
1987,,1,11,4,,16,19
1988,1,,1,3,1,6,6
1989,4,1,17,5,,27,33
1990,,,21,1,1,23,38
1991,6,,8,2,2,18,30
1992,3,2,17,8,2,32,42
1993,1,2,15,3,1,22,30
1994,,1,3,2,,6,35
1995,6,,6,3,,15,36
1996,6,,25,,2,33,78
1997,,,11,1,,12,34
1998,9,,6,2,1,18,67
1999,16,,3,5,,24,43
2000,,1,2,3,3,9,49
2001,,1,5,,1,7,41
2002,4,2,4,3,2,15,45
2003,8,1,,1,2,12,52
2004,15,,1,,,16,64
2005,11,,2,2,2,17,52
2006,,1,1,,,2,46
2007,,,1,,1,2,59
2008,9,,4,,1,14,79
2009,1,,2,1,1,5,62
2010,2,1,9,2,,14,73
2011,16,2,16,1,2,37,96
2012,17,,3,,3,23,47
2013,,,14,2,3,19,57
2014,,1,8,2,1,12,39
2015,,,10,,2,12,48
2016,6,,14,1,1,22,37
2017,11,,12,4,2,29,58
2018,8,,15,1,3,27,47
